code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached,stopped,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full
010100,20251204,2.04,3.16,3.83,4470,3680,True,False,1.0,-0.5,MA120>MA60>MA5>MA40>MA20,260,150,4220,3820,False,False,False,False
010100,20260112,3.06,9.87,9.39,7570,4010,True,False,8.0,1.98,MA5>MA20>MA40>MA120>MA60,900,720,6080,4665,False,False,False,False
010120,20251023,5.01,2.73,14.87,413500,287500,True,False,4.0,6.71,MA5>MA20>MA60>MA40>MA120,53000,18500,385500,316000,False,False,False,False
010120,20260128,4.28,7.19,6.52,783500,468500,True,False,18.0,-6.96,MA5>MA20>MA40>MA60>MA120,69000,71500,643500,540500,False,False,False,False
010130,20260113,3.23,5.78,10.1,1660000,1073500,True,False,4.0,1.12,MA20>MA40>MA60>MA5>MA120,171000,107000,1437000,1225000,False,False,False,False
010140,20251024,2.3,-0.83,3.77,26800,23150,True,False,1.0,5.32,MA5>MA20>MA40>MA60>MA120,1100,750,25550,23950,False,False,False,False
010140,20251027,4.44,3.77,17.34,32400,22125,True,False,3.0,11.97,MA5>MA20>MA40>MA60>MA120,4650,1250,30350,24400,False,False,False,False
010690,20260116,2.59,-0.7,13.66,9980,7805,True,False,1.0,8.5,MA5>MA120>MA20>MA40>MA60,1230,180,9830,8370,False,False,False,False
010820,20260120,4.4,12.42,9.24,6795,3555,True,False,20.0,-7.99,MA120>MA5>MA60>MA20>MA40,860,650,5495,4175,False,False,False,False
011210,20251022,2.51,3.92,4.13,66500,52300,False,False,,-6.3,MA5>MA40>MA60>MA20>MA120,3800,2900,60900,55700,False,False,False,False
011210,20251128,2.21,0.0,5.6,64200,56800,True,False,3.0,-1.99,MA5>MA20>MA40>MA60>MA120,3600,1000,63200,58400,False,False,False,False
011210,20251204,2.36,2.92,5.83,73500,60900,True,False,9.0,-0.92,MA5>MA20>MA40>MA60>MA120,4200,2300,69500,64500,False,False,False,False
011500,20251017,3.26,3.8,5.2,16920,13825,True,False,5.0,-3.77,MA5>MA120>MA60>MA40>MA20,1310,540,16330,14390,False,False,False,False
011500,20260122,4.66,2.33,29.83,26080,13640,True,False,2.0,22.42,MA5>MA20>MA60>MA40>MA120,6140,1340,24190,16660,False,False,False,False
011690,20251204,6.3,14.89,11.23,6005,3102,False,False,,-13.12,MA5>MA120>MA60>MA40>MA20,935,585,5090,3575,False,False,False,False
012200,20251218,3.18,1.36,29.94,2198,1298,True,False,1.0,57.41,MA5>MA20>MA40>MA120>MA60,495,67,2107,1537,False,False,False,False
012200,20251219,26.47,29.94,29.9,3370,1105,True,False,1.0,16.28,MA5>MA20>MA40>MA120>MA60,1030,420,3070,1110,False,False,False,False
012200,20251222,23.4,29.9,30.0,3125,2148,True,False,1.0,36.85,MA5>MA20>MA40>MA60>MA120,865,100,3545,2260,False,False,False,False
012610,20251208,2.13,1.16,7.06,3595,2885,True,False,1.0,3.7,MA120>MA5>MA60>MA40>MA20,250,115,3375,3090,False,False,False,False
